PLATE 1,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,PM_HP_1,PM_HP_2,PM_HP_3,PM_HP_4,PM_HP_5,PM_HP_6,PM_HP_7,PM_HP_8,PM_HP_9,PM_HP_10,PM_HP_11,PM_HP_12
B,PM_HP_13,PM_HP_14,PM_HP_15,PM_MT_1,PM_MT_2,PM_MT_3,PM_MT_4,PM_MT_5,PM_MT_6,PM_MT_7,PM_MT_8,PM_MT_9
C,PM_MT_10,PM_MT_11,PM_MT_12,PM_MT_13,PM_MT_14,PM_MT_15,PM_MV_1,PM_MV_2,PM_MV_3,PM_MV_4,PM_MV_5,PM_MV_6
D,PM_MV_7,PM_MV_8,PM_MV_9,PM_MV_10,PM_MV_11,PM_PP_1,PM_PP_2,PM_PP_3,PM_PP_4,PM_PP_5,PM_PP_6,PM_PP_7
E,PM_PP_8,PM_PP_9,PM_PP_10,PM_LB_1,PM_LB_2,PM_LB_3,PM_LB_4,PM_LB_5,PM_LB_6,PM_LB_7,PM_LB_8,PM_LB_9
F,PM_LB_10,PM_LB_11,PM_LB_12,PM_LB_13,PM_LB_14,PM_LB_15,PM_LB_16,PM_LB_17,PM_JA_1,PM_JA_2,PM_JA_3,PM_JA_4
G,PM_JA_5,PM_JA_6,PM_JA_7,PM_JA_8,PM_JA_9,PM_JA_10,PM_JA_11,PM_JA_12,PM_JA_13,PM_JA_14,PM_JA_15,PM_ME_1
H,PM_ME_2,PM_ME_3,PM_ME_4,PM_ME_5,PM_ME_6,PM_ME_7,PM_ME_8,PM_ME_9,PM_ME_10,PM_ME_11,PM_ME_12,PM_ME_13
,,,,,,,,,,,,
,,,,,,,,,,,,
PLATE 2,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,PM_ME_14,PM_ME_15,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
